0, 12
0.023, 0.023
0.092, 0.092
0.302, 0.302
0.282, 0.282
0.220, 0.220
0.164, 0.164
0.043, 0.043
0.112, 0.112
0.144, 0.144
0.072, 0.072
0.013, 0.013
0.013, 0.013
0.069, 0.069
0.135, 0.135
0.075, 0.075
0.312, 0.312
0.305, 0.305
0.010, 0.010
0.276, 0.276
0.167, 0.167
0.016, 0.016
0.276, 0.276
0.305, 0.305
0.295, 0.295
0.430, 0.430
0.440, 0.440
0.427, 0.427
0.354, 0.354
0.174, 0.174
0.085, 0.085
0.108, 0.108
0.089, 0.089
0.092, 0.092
0.085, 0.085
0.095, 0.095
0.052, 0.052
0.075, 0.075
0.016, 0.016
0.039, 0.039
0.112, 0.112
0.315, 0.315
0.187, 0.187
0.030, 0.030
0.030, 0.030
0.039, 0.039
0.056, 0.056
0.190, 0.190
0.148, 0.148
0.056, 0.056
0.154, 0.154
0.164, 0.164
0.016, 0.016
0.374, 0.374
0.472, 0.472
0.456, 0.456
0.354, 0.354
0.256, 0.256
0.046, 0.046
0.026, 0.026
0.036, 0.036
0.007, 0.007
0.030, 0.030
0.016, 0.016
0.003, 0.003
0.007, 0.007
0.026, 0.026
0.069, 0.069
0.125, 0.125
0.033, 0.033
0.174, 0.174
0.174, 0.174
0.007, 0.007
0.003, 0.003
0.069, 0.069
0.184, 0.184
0.302, 0.302
0.272, 0.272
0.203, 0.203
0.072, 0.072
0.082, 0.082
0.151, 0.151
0.161, 0.161
0.177, 0.177
0.194, 0.194
0.164, 0.164
0.135, 0.135
0.085, 0.085
0.003, 0.003
0.003, 0.003
0.121, 0.121
0.030, 0.030
0.085, 0.085
0.059, 0.059
0.092, 0.092
0.194, 0.194
0.118, 0.118
0.016, 0.016
0.062, 0.062
0.072, 0.072
0.220, 0.220
0.266, 0.266
0.266, 0.266
0.230, 0.230
0.128, 0.128
0.085, 0.085
0.151, 0.151
0.033, 0.033
0.072, 0.072
0.059, 0.059
0.171, 0.171
0.115, 0.115
0.043, 0.043
0.036, 0.036
0.036, 0.036
0.007, 0.007
0.079, 0.079
0.180, 0.180
0.148, 0.148
0.098, 0.098
0.026, 0.026
0.066, 0.066
0.059, 0.059
0.072, 0.072
0.102, 0.102
0.036, 0.036
0.194, 0.194
0.292, 0.292
0.322, 0.322
0.256, 0.256
0.148, 0.148
0.102, 0.102
0.194, 0.194
0.167, 0.167
0.075, 0.075
0.030, 0.030
0.026, 0.026
0.059, 0.059
0.295, 0.295
0.351, 0.351
0.282, 0.282
0.007, 0.007
0.030, 0.030
0.062, 0.062
0.079, 0.079
0.013, 0.013
0.121, 0.121
0.108, 0.108
0.049, 0.049
0.039, 0.039
0.131, 0.131
0.200, 0.200
0.253, 0.253
0.226, 0.226
0.115, 0.115
0.023, 0.023
0.092, 0.092
0.098, 0.098
0.138, 0.138
0.154, 0.154
0.135, 0.135
0.072, 0.072
0.026, 0.026
0.180, 0.180
0.272, 0.272
0.322, 0.322
0.272, 0.272
0.135, 0.135
0.056, 0.056
0.003, 0.003
0.007, 0.007
0.046, 0.046
0.098, 0.098
0.003, 0.003
0.144, 0.144
0.161, 0.161
0.213, 0.213
0.210, 0.210
0.157, 0.157
0.105, 0.105
0.007, 0.007
0.128, 0.128
0.105, 0.105
0.128, 0.128
0.190, 0.190
0.161, 0.161
0.075, 0.075
0.049, 0.049
0.075, 0.075
0.190, 0.190
0.213, 0.213
0.079, 0.079
0.046, 0.046
0.262, 0.262
0.148, 0.148
0.030, 0.030
0.171, 0.171
0.062, 0.062
0.164, 0.164
0.240, 0.240
0.272, 0.272
0.246, 0.246
0.171, 0.171
0.085, 0.085
0.049, 0.049
0.141, 0.141
0.118, 0.118
0.157, 0.157
0.108, 0.108
0.049, 0.049
0.010, 0.010
0.095, 0.095
0.052, 0.052
0.003, 0.003
0.217, 0.217
0.253, 0.253
0.246, 0.246
0.200, 0.200
0.121, 0.121
0.056, 0.056
0.046, 0.046
0.016, 0.016
0.023, 0.023
0.003, 0.003
0.052, 0.052
0.082, 0.082
0.108, 0.108
0.210, 0.210
0.276, 0.276
0.098, 0.098
0.240, 0.240
0.292, 0.292
0.305, 0.305
0.308, 0.308
0.308, 0.308
0.148, 0.148
0.010, 0.010
0.213, 0.213
0.335, 0.335
0.322, 0.322
0.289, 0.289
0.210, 0.210
0.039, 0.039
0.164, 0.164
0.144, 0.144
0.115, 0.115
0.043, 0.043
0.020, 0.020
0.033, 0.033
0.171, 0.171
0.312, 0.312
0.331, 0.331
0.230, 0.230
0.043, 0.043
0.213, 0.213
0.197, 0.197
0.207, 0.207
0.171, 0.171
0.066, 0.066
0.121, 0.121
0.236, 0.236
0.154, 0.154
0.089, 0.089
0.066, 0.066
0.144, 0.144
0.184, 0.184
0.112, 0.112
0.253, 0.253
0.164, 0.164
0.095, 0.095
0.059, 0.059
0.151, 0.151
0.184, 0.184
0.089, 0.089
0.075, 0.075
0.007, 0.007
0.095, 0.095
0.085, 0.085
0.253, 0.253
0.299, 0.299
0.226, 0.226
0.105, 0.105
0.020, 0.020
0.049, 0.049
0.125, 0.125
0.174, 0.174
0.092, 0.092
0.026, 0.026
0.112, 0.112
0.276, 0.276
0.190, 0.190
0.062, 0.062
0.023, 0.023
0.039, 0.039
0.020, 0.020
0.128, 0.128
0.203, 0.203
0.144, 0.144
0.003, 0.003
0.233, 0.233
0.236, 0.236
0.125, 0.125
0.007, 0.007
0.010, 0.010
0.003, 0.003
0.003, 0.003
0.052, 0.052
0.079, 0.079
0.036, 0.036
0.141, 0.141
0.197, 0.197
0.098, 0.098
0.007, 0.007
0.016, 0.016
0.066, 0.066
0.118, 0.118
0.138, 0.138
0.049, 0.049
0.023, 0.023
0.112, 0.112
0.043, 0.043
0.013, 0.013
0.095, 0.095
0.039, 0.039
0.092, 0.092
0.154, 0.154
0.108, 0.108
